num_impute,cate_impute,scale,pca,encode,r2
median,most,minmax,pca_0.99_auto,ordinal,-35643.29193888496
median,most,minmax,pca_0.99_auto,onehot,-5577.490614029699
median,most,minmax,pca_0.99_auto,ordinal,-35643.29193888496
median,most,robust,none,onehot,0.40331291487048615
median,most,robust,none,ordinal,0.5038674101181732
median,most,robust,pca_0.95_auto,onehot,0.11360235944110775
median,most,robust,pca_0.95_auto,ordinal,0.07792032825525141
median,most,robust,pca_0.95_full,onehot,0.11360235944107855
median,most,robust,pca_0.95_full,ordinal,0.07792032825520956
median,most,robust,pca_0.99_auto,onehot,0.11360235944107855
median,most,robust,pca_0.99_auto,ordinal,0.07792032825520956
median,most,robust,pca_0.99_auto,onehot,0.11360235944107855
median,most,robust,pca_0.99_auto,ordinal,0.07792032825520956
median,most,log1p_robust,none,onehot,0.9622273704011
median,most,log1p_robust,none,ordinal,0.8782556430356855
median,most,log1p_robust,pca_0.95_auto,onehot,0.9622290236570354
median,most,log1p_robust,pca_0.95_auto,ordinal,0.8786044585701757
median,most,log1p_robust,pca_0.95_full,onehot,0.9622290236570361
median,most,log1p_robust,pca_0.95_full,ordinal,0.8786044585701565
median,most,log1p_robust,pca_0.99_auto,onehot,0.9622290236570361
median,most,log1p_robust,pca_0.99_auto,ordinal,0.8786044585701565
median,most,log1p_robust,pca_0.99_auto,onehot,0.9622290236570361
median,most,log1p_robust,pca_0.99_auto,ordinal,0.8786044585701565
