num_impute,cate_impute,scale,pca,encode,r2
median,none,standard,pca_0.99_auto,onehot,0.9952803689114657
median,none,standard,pca_0.99_auto,ordinal,0.9947466530620875
median,none,standard,pca_0.99_auto,onehot,0.9953049051858678
median,none,standard,pca_0.99_auto,ordinal,0.9952733764156783
median,none,minmax,none,onehot,0.9930556332927806
median,none,minmax,none,ordinal,0.9908017031098022
median,none,minmax,pca_0.95_auto,onehot,0.9939507373355698
median,none,minmax,pca_0.95_auto,ordinal,0.9956310373811056
median,none,minmax,pca_0.95_full,onehot,0.9939307356299448
median,none,minmax,pca_0.95_full,ordinal,0.9945232451082502
median,none,minmax,pca_0.99_auto,onehot,0.9955884911003792
median,none,minmax,pca_0.99_auto,ordinal,0.9952828525158881
median,none,minmax,pca_0.99_auto,onehot,0.9947031025973372
median,none,minmax,pca_0.99_auto,ordinal,0.995882123070175
median,none,robust,none,onehot,0.9924110439359325
median,none,robust,none,ordinal,0.9913835273656922
median,none,robust,pca_0.95_auto,onehot,0.930915224366176
median,none,robust,pca_0.95_auto,ordinal,0.9131953527068732
median,none,robust,pca_0.95_full,onehot,0.9278463281378483
median,none,robust,pca_0.95_full,ordinal,0.9131269892532552
median,none,robust,pca_0.99_auto,onehot,0.9296409925820509
median,none,robust,pca_0.99_auto,ordinal,0.9124550983766951
median,none,robust,pca_0.99_auto,onehot,0.9290837334757809
median,none,robust,pca_0.99_auto,ordinal,0.9143337834254686
median,none,log1p_robust,none,onehot,0.9920919904756448
median,none,log1p_robust,none,ordinal,0.9923286733761161
median,none,log1p_robust,pca_0.95_auto,onehot,0.989219439409675
median,none,log1p_robust,pca_0.95_auto,ordinal,0.9898698184426116
median,none,log1p_robust,pca_0.95_full,onehot,0.9891749341167224
median,none,log1p_robust,pca_0.95_full,ordinal,0.9891889149878754
median,none,log1p_robust,pca_0.99_auto,onehot,0.990086521252924
median,none,log1p_robust,pca_0.99_auto,ordinal,0.9885909761309791
median,none,log1p_robust,pca_0.99_auto,onehot,0.9898700953654554
median,none,log1p_robust,pca_0.99_auto,ordinal,0.9894335976951089
median,most,none,none,onehot,0.9916221818589522
median,most,none,none,ordinal,0.9907992720543585
median,most,none,pca_0.95_auto,onehot,0.774960932105057
median,most,none,pca_0.95_auto,ordinal,0.7677768501282998
median,most,none,pca_0.95_full,onehot,0.7775915022011565
median,most,none,pca_0.95_full,ordinal,0.7683405680179343
median,most,none,pca_0.99_auto,onehot,0.7773438287206136
median,most,none,pca_0.99_auto,ordinal,0.7689670827385537
median,most,none,pca_0.99_auto,onehot,0.7764878128428154
median,most,none,pca_0.99_auto,ordinal,0.7701748511632863
median,most,standard,none,onehot,0.9927496502077333
median,most,standard,none,ordinal,0.9901684184537419
median,most,standard,pca_0.95_auto,onehot,0.9954322665762785
median,most,standard,pca_0.95_auto,ordinal,0.9945316681222055
median,most,standard,pca_0.95_full,onehot,0.9951382008330137
median,most,standard,pca_0.95_full,ordinal,0.9947198871612164
median,most,standard,pca_0.99_auto,onehot,0.9949995833293303
median,most,standard,pca_0.99_auto,ordinal,0.9946182407468818
median,most,standard,pca_0.99_auto,onehot,0.9951142027835785
median,most,standard,pca_0.99_auto,ordinal,0.9952524376740742
median,most,minmax,none,onehot,0.9934974749515731
median,most,minmax,none,ordinal,0.99000165283867
median,most,minmax,pca_0.95_auto,onehot,0.9938847026105327
median,most,minmax,pca_0.95_auto,ordinal,0.9939731101150121
median,most,minmax,pca_0.95_full,onehot,0.993393865095036
median,most,minmax,pca_0.95_full,ordinal,0.9943467802730696
median,most,minmax,pca_0.99_auto,onehot,0.995376679373078
median,most,minmax,pca_0.99_auto,ordinal,0.9950484134267127
median,most,minmax,pca_0.99_auto,onehot,0.9946182857495421
median,most,minmax,pca_0.99_auto,ordinal,0.9938683020125663
median,most,robust,none,onehot,0.9916020547533103
median,most,robust,none,ordinal,0.9932196047596297
median,most,robust,pca_0.95_auto,onehot,0.9314623240731414
median,most,robust,pca_0.95_auto,ordinal,0.9110779572290721
median,most,robust,pca_0.95_full,onehot,0.9238452077088737
median,most,robust,pca_0.95_full,ordinal,0.913199941910238
median,most,robust,pca_0.99_auto,onehot,0.9274561914397852
median,most,robust,pca_0.99_auto,ordinal,0.9152787269689266
median,most,robust,pca_0.99_auto,onehot,0.9308242705733246
median,most,robust,pca_0.99_auto,ordinal,0.9123557705265051
median,most,log1p_robust,none,onehot,0.9919440872615551
median,most,log1p_robust,none,ordinal,0.9931137791772334
median,most,log1p_robust,pca_0.95_auto,onehot,0.9901510014883885
median,most,log1p_robust,pca_0.95_auto,ordinal,0.9897841262609485
median,most,log1p_robust,pca_0.95_full,onehot,0.9894757019013567
median,most,log1p_robust,pca_0.95_full,ordinal,0.9892309046509123
median,most,log1p_robust,pca_0.99_auto,onehot,0.9891111804325846
median,most,log1p_robust,pca_0.99_auto,ordinal,0.9898908993262171
median,most,log1p_robust,pca_0.99_auto,onehot,0.9900084868116072
median,most,log1p_robust,pca_0.99_auto,ordinal,0.9895812815462545
