num_impute,cate_impute,scale,pca,encode,r2
median,most,minmax,pca_0.95_full,ordinal,-337.3871026286643
median,most,minmax,pca_0.99_auto,onehot,-266.4558825846631
median,most,minmax,pca_0.99_auto,ordinal,-337.3871026286594
median,most,minmax,pca_0.99_full,onehot,-266.45588258466614
median,most,minmax,pca_0.99_full,ordinal,-337.3871026286643
median,most,robust,none,onehot,-266.4558825846493
median,most,robust,none,ordinal,-337.3871026286623
median,most,robust,pca_0.95_auto,onehot,-0.028734550168896034
median,most,robust,pca_0.95_auto,ordinal,-0.07112940171639193
median,most,robust,pca_0.95_full,onehot,-0.028734550168896256
median,most,robust,pca_0.95_full,ordinal,-0.07112940171639193
median,most,robust,pca_0.99_auto,onehot,-0.028734550168896034
median,most,robust,pca_0.99_auto,ordinal,-0.07112940171639193
median,most,robust,pca_0.99_full,onehot,-0.028734550168896256
median,most,robust,pca_0.99_full,ordinal,-0.07112940171639193
median,most,log1p_robust,none,onehot,0.8271692570107161
median,most,log1p_robust,none,ordinal,0.8174901349306231
median,most,log1p_robust,pca_0.95_auto,onehot,0.8271692570107161
median,most,log1p_robust,pca_0.95_auto,ordinal,0.8174901349306247
median,most,log1p_robust,pca_0.95_full,onehot,0.8271692570107149
median,most,log1p_robust,pca_0.95_full,ordinal,0.8174901349306234
median,most,log1p_robust,pca_0.99_auto,onehot,0.8271692570107161
median,most,log1p_robust,pca_0.99_auto,ordinal,0.8174901349306247
median,most,log1p_robust,pca_0.99_full,onehot,0.8271692570107149
median,most,log1p_robust,pca_0.99_full,ordinal,0.8174901349306234
